0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        1        	"72" 5
0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        1        	"73" 5
0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        	"74" 2
0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        1        	"75" 5
0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        1        	"76" 5
0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        	"77" 2
0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        1        	"78" 5
0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        	"79" 2
0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        1        0        0        1        	"80" 1
0        -1        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        1        	"81" 8
0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        1        	"82" 5
0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        1        	"83" 5
0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        1        	"84" 5
0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        1        	"85" 5
1        0        -1        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        1        	"86" 5
0        0        0        -1        0        0        0        0        0        0        0        0        0        0        0        0        0        0        1        	"87" 6
0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        1        	"88" 5
0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        1        	"89" 5
0        0        0        1        0        0        0        0        0        0        0        0        0        0        0        0        0        0        1        	"90" 5
0        0        0        0        -1        0        0        0        0        0        0        0        0        0        0        0        0        0        1        	"91" 5
0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        	"92" 2
0        0        0        -1        0        0        0        0        0        0        0        0        0        0        0        0        0        0        1        	"93" 6
0        0        0        0        -1        0        0        0        0        0        0        0        0        0        0        0        0        0        1        	"94" 5
0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        1        	"95" 5
0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        	"96" 2
0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        1        	"97" 5
0        0        0        0        -1        0        0        0        0        0        0        0        0        0        0        0        0        0        1        	"98" 5
