gene  status        value_1        value_2        p_value        q_value	significant
-  OK        1.19579        3.57607        0.07965        0.122818	no
-  OK        1.17925        4.73996        0.03645        0.0601618	no
-  OK        2.58151        4.35901        0.2609        0.286405	no
-  OK        2.00437        4.64102        0.1439        0.195576	no
-  NOTEST        1.34565        2.51556        1        1	no
-  OK        0.484031        6.53771        0.2249        0.260978	no
-  NOTEST        0.823464        4.36851        1        1	no
-  NOTEST        1.53367        3.94571        1        1	no
-  OK        1.12342        5.69087        0.12045        0.16982	no
-  OK        1.21875        3.7234        0.03035        0.0512362	no
-  OK        0.404437        5.46265        0.2249        0.260978	no
-  NOTEST        0.769543        3.34095        1        1	no
-  NOTEST        1.04838        2.42698        1        1	no
-  OK        1.45594        7.02325        0.12605        0.175614	no
-  NOTEST        0        5.03989        1        1	no
-  OK        2.99576        7.58594        0.16665        0.222546	no
-  OK        0.719357        4.33803        0.1155        0.165382	no
-  OK        1.51664        4.02384        0.1652        0.220767	no
-  OK        0.641968        4.48992        0.11545        0.165382	no
-  OK        1.42555        7.10647        0.03065        0.0515188	no
-  OK        1.00551        4.85045        0.03055        0.0514259	no
-  OK        2.46945        4.1696        0.1289        0.178327	no
-  OK        4.10955        6.23037        0.3787        0.403126	no
-  OK        2.65299        7.16668        0.0893        0.136495	no
-  OK        1.04295        5.03231        0.12605        0.175614	no
-  NOTEST        1.22555        2.06842        1        1	no
-  OK        2.20152        4.95592        0.20735        0.260978	no
-  NOTEST        0        5.27717        1        1	no
-  OK        3.50966        7.33778        0.2432        0.271716	no
-  OK        1.73884        4.3341        0.06385        0.100117	no
-  NOTEST        0        4.57518        1        1	no
-  NOTEST        0        2.66041        1        1	no
-  OK        1.56443        4.77888        0.07265        0.112606	no
-  NOTEST        1.14103        3.85292        1        1	no
-  NOTEST        0.774434        4.48291        1        1	no
-  OK        1.11373        10.2064        0.22525        0.260978	no
-  NOTEST        1.20778        5.82904        1        1	no
-  NOTEST        0.285712        2.06701        1        1	no
-  OK        0.664209        4.80528        0.22625        0.260978	no
-  NOTEST        0.293545        3.39845        1        1	no
-  NOTEST        0        5.92587        1        1	no
-  NOTEST        0.159091        1.84222        1        1	no
-  NOTEST        0.547364        2.64106        1        1	no
-  NOTEST        0.565201        2.72645        1        1	no
-  NOTEST        0        2.50363        1        1	no
-  NOTEST        0        1.48381        1        1	no
-  NOTEST        0        4.00816        1        1	no
-  OK        4.64876        2.13065        0.0579        0.0917679	no
-  OK        2.82159        5.44439        0.3644        0.388413	no
-  NOTEST        0.588979        4.26243        1        1	no
-  NOTEST        0.838622        4.04539        1        1	no
-  NOTEST        0.937684        4.52326        1        1	no
-  NOTEST        0.385587        1.85909        1        1	no
-  NOTEST        0.80058        2.83205        1        1	no
-  NOTEST        0        4.52139        1        1	no
-  OK        0.60263        4.6512        0.2262        0.260978	no
-  OK        1.79261        6.0531        0.1766        0.233264	no
-  NOTEST        1.23386        3.27284        1        1	no
-  NOTEST        0.643087        3.41161        1        1	no
-  OK        2.70622        4.8946        0.3566        0.380997	no
-  NOTEST        0        3.89978        1        1	no
-  NOTEST        0        2.67509        1        1	no
-  NOTEST        1.04295        3.77392        1        1	no
-  OK        2.2985        4.23346        0.0884        0.135269	no
-  OK        3.45023        4.32729        0.37185        0.396098	no
-  OK        7.38785        0.446581        0.2202        0.260978	no
-  NOTEST        3.0189        1.66328        1        1	no
-  NOTEST        1.87623        3.61876        1        1	no
-  NOTEST        1.09397        3.69533        1        1	no
-  NOTEST        0.417193        1.71086        1        1	no
-  NOTEST        0        1.19446        1        1	no
-  NOTEST        0        2.03545        1        1	no
-  NOTEST        0        1.45206        1        1	no
-  NOTEST        0        3.12524        1        1	no
-  NOTEST        0        0.984962        1        1	no
-  NOTEST        0        1.62207        1        1	no
-  NOTEST        0        2.64167        1        1	no
-  NOTEST        0.817978        2.03883        1        1	no
-  NOTEST        0        1.32619        1        1	no
-  NOTEST        0        3.19244        1        1	no
-  NOTEST        0        4.13133        1        1	no
-  NOTEST        0        2.72603        1        1	no
-  NOTEST        0        2.73638        1        1	no
-  NOTEST        0        3.43886        1        1	no
-  NOTEST        0        2.40118        1        1	no
-  NOTEST        0        2.87479        1        1	no
-  NOTEST        0        3.64497        1        1	no
-  NOTEST        0        3.86737        1        1	no
-  NOTEST        0        3.70954        1        1	no
-  NOTEST        0        2.95898        1        1	no
-  NOTEST        0        2.62065        1        1	no
-  OK        0.141966        4.2459        0.2249        0.260978	no
-  NOTEST        0        3.28903        1        1	no
-  NOTEST        0        2.59854        1        1	no
-  NOTEST        0        3.49859        1        1	no
-  NOTEST        0.574115        3.87723        1        1	no
-  OK        5.16346        6.85119        0.7442        0.759639	no
-  OK        2.59995        5.43477        0.1259        0.175614	no
-  OK        2.48293        5.03047        0.03765        0.0620513	no
-  OK        4.199        5.06384        0.35615        0.380997	no
-  NOTEST        2.82714        3.41028        1        1	no
-  NOTEST        2.32581        2.52366        1        1	no
-  NOTEST        0        2.2511        1        1	no
-  NOTEST        0        4.03636        1        1	no
-  NOTEST        0        3.49267        1        1	no
-  NOTEST        0        3.03899        1        1	no
-  NOTEST        0        2.68182        1        1	no
-  NOTEST        0        3.2228        1        1	no
-  NOTEST        0        3.19686        1        1	no
-  NOTEST        0        3.16373        1        1	no
-  NOTEST        1.16666        3.09528        1        1	no
-  OK        7.30411        2.34893        0.1172        0.167322	no
-  OK        5.05555        2.6998        0.03345        0.0558257	no
-  OK        5.83943        2.34738        0.12685        0.175831	no
-  OK        4.32536        2.56799        0.21915        0.260978	no
-  OK        16.5713        0.80136        0.22015        0.260978	no
-  OK        10.6415        3.73332        0.1585        0.212393	no
-  OK        5.12556        12.3625        0.32125        0.345289	no
-  OK        6.5536        10.5379        0.45705        0.480873	no
-  OK        6.63567        8.32407        0.7004        0.717438	no
-  OK        7.93925        6.56534        0.69985        0.717438	no
-  OK        2.45938        4.44815        0.3566        0.380997	no
-  NOTEST        3.20699        3.09402        1        1	no
-  NOTEST        0.484031        3.96875        1        1	no
-  NOTEST        0.691989        3.67103        1        1	no
-  OK        0.464275        5.37504        0.2249        0.260978	no
-  OK        102427        87193.2        0.44585        0.470419	no
-  NOTEST        0.805262        4.27388        1        1	no
-  OK        4.12555        7.29542        0.40185        0.426098	no
-  NOTEST        0.625409        2.415        1        1	no
-  NOTEST        0.57231        3.58965        1        1	no
-  OK        0.699326        3.7108        0.04375        0.0711725	no
-  NOTEST        0        3.68935        1        1	no
-  NOTEST        0        4.24793        1        1	no
-  NOTEST        0        2.80666        1        1	no
-  NOTEST        0        4.28971        1        1	no
-  OK        0.574115        5.5389        0.22505        0.260978	no
-  OK        2.29402        4.79436        0.2432        0.271716	no
-  OK        0.493213        5.23422        0.2249        0.260978	no
-  OK        0.942984        4.7757        0.12045        0.16982	no
-  NOTEST        1.9146        4.61788        1        1	no
-  OK        2.09633        3.21781        0.23795        0.269191	no
-  NOTEST        3.16921        5.09595        1        1	no
-  NOTEST        3.38598        3.06202        1        1	no
-  NOTEST        1.12113        2.16327        1        1	no
-  NOTEST        3.9263        6.31331        1        1	no
-  NOTEST        0.412691        2.38891        1        1	no
-  NOTEST        4.48187        5.40498        1        1	no
-  OK        12.1053        0.529539        0.247        0.274892	no
-  OK        2.47906        14.3504        0.2299        0.260978	no
-  OK        0.739807        6.4237        0.22535        0.260978	no
-  NOTEST        0.816086        4.72402        1        1	no
-  OK        2.09594        5.72929        0.0455        0.0738421	no
-  OK        0.741333        4.11294        0.11965        0.169606	no
-  NOTEST        0.362544        3.14795        1        1	no
-  NOTEST        0        4.54087        1        1	no
-  NOTEST        1.44439        3.48376        1        1	no
-  NOTEST        1.97105        4.11937        1        1	no
-  NOTEST        0        5.13447        1        1	no
-  NOTEST        0.522975        3.53186        1        1	no
-  OK        4.11623        10.9184        0.27995        0.303676	no
-  OK        4.53569        3.82892        0.75195        0.766616	no
-  NOTEST        0        3.65799        1        1	no
-  OK        2.25262        11.9556        0.2431        0.271716	no
-  NOTEST        3.24995        3.13546        1        1	no
-  OK        8.34131        0.731587        0.2173        0.260978	no
-  NOTEST        0.883295        5.11307        1        1	no
-  NOTEST        0        3.49813        1        1	no
-  NOTEST        0        4.41018        1        1	no
-  NOTEST        0        2.39591        1        1	no
-  OK        2.58173        6.8481        0.27995        0.303676	no
-  NOTEST        0.972543        4.69141        1        1	no
-  NOTEST        0        4.84552        1        1	no
-  OK        0.404437        3.9019        0.22505        0.260978	no
-  OK        0.269229        4.54584        0.2249        0.260978	no
-  OK        0.494562        4.77139        0.11275        0.164967	no
-  OK        0.684185        7.59176        0.2249        0.260978	no
-  OK        0.157167        4.24528        0.2249        0.260978	no
-  OK        1.81996        5.7065        0.1045        0.157326	no
-  OK        0.627579        4.69202        0.1141        0.165127	no
-  OK        0.452727        5.24133        0.2249        0.260978	no
-  OK        1.96594        12.8014        0.11545        0.165382	no
-  OK        0.563451        14.4048        0.2249        0.260978	no
-  OK        0.791265        14.8871        0.2249        0.260978	no
-  OK        3.18063        19.1767        0.1155        0.165382	no
-  OK        0.784469        10.9732        0.11235        0.164967	no
-  OK        1.1592        9.78499        0.11315        0.164967	no
-  OK        0.566973        9.70958        0.11235        0.164967	no
-  NOTEST        0        5.18925        1        1	no
-  OK        0.411757        3.97252        0.22505        0.260978	no
-  OK        0.849137        4.09612        0.03055        0.0514259	no
-  NOTEST        0.846409        4.89955        1        1	no
-  OK        1.14115        6.60572        0.2299        0.260978	no
-  OK        4.27996        20.6459        0.25385        0.27913	no
-  NOTEST        1.97653        5.2428        1        1	no
-  NOTEST        0        4.39033        1        1	no
-  OK        0.448266        7.35207        0.2249        0.260978	no
-  NOTEST        0.982971        5.21471        1        1	no
-  OK        2.04248        6.89684        0.1766        0.233264	no
-  OK        3.74564        9.03421        0.32125        0.345289	no
-  OK        0.422266        4.48129        0.2249        0.260978	no
-  NOTEST        0.254188        2.81988        1        1	no
-  OK        0.230378        3.33449        0.2249        0.260978	no
-  NOTEST        0.710909        4.11519        1        1	no
-  NOTEST        0        3.1146        1        1	no
-  OK        0.858474        5.3835        0.11545        0.165382	no
-  OK        2.06541        5.97796        0.2073        0.260978	no
-  NOTEST        0        3.61717        1        1	no
-  NOTEST        0        4.66546        1        1	no
-  NOTEST        0        3.0589        1        1	no
-  NOTEST        0        2.98019        1        1	no
-  NOTEST        0.23667        2.96832        1        1	no
-  NOTEST        0        4.87217        1        1	no
-  NOTEST        0        5.42083        1        1	no
-  NOTEST        0        1.66431        1        1	no
-  NOTEST        0        1.65645        1        1	no
-  NOTEST        0        1.07554        1        1	no
-  NOTEST        0        1.44548        1        1	no
-  OK        14.4947        5.05078        0.0508        0.0815272	no
-  OK        2.11319        4.45944        0.0955        0.144816	no
-  NOTEST        2.61598        3.60546        1        1	no
-  OK        0.981109        8.04564        0.11315        0.164967	no
-  OK        0.69999        5.57106        0.11405        0.165127	no
-  OK        0.596703        4.31833        0.22625        0.260978	no
-  OK        3.38387        24.489        0.22625        0.260978	no
-  NOTEST        0        4.1418        1        1	no
-  NOTEST        0        4.3552        1        1	no
-  OK        0.449373        5.63605        0.2249        0.260978	no
-  NOTEST        0        3.01869        1        1	no
-  OK        0.72797        7.02325        0.22505        0.260978	no
-  NOTEST        1.7009        1.8456        1        1	no
-  OK        5.23307        3.3672        0.35655        0.380997	no
-  NOTEST        0        1.52667        1        1	no
-  NOTEST        1.1269        2.99048        1        1	no
-  OK        5.53187        4.93638        0.676        0.694964	no
-  OK        2.9302        5.96805        0.07175        0.111604	no
-  OK        2.77154        5.64418        0.0717        0.111569	no
-  OK        1.78428        6.24068        0.0971        0.146985	no
-  NOTEST        3.02316        3.49999        1        1	no
-  OK        1.6774        4.45002        0.04945        0.0795757	no
-  OK        10.4422        6.11566        0.21285        0.260978	no
-  OK        5.46531        2.89937        0.24635        0.274892	no
-  OK        5.17865        3.56872        0.52475        0.547349	no
-  OK        4.68508        3.12925        0.29095        0.315196	no
-  NOTEST        1.03701        2.75069        1        1	no
-  NOTEST        0        3.67044        1        1	no
-  NOTEST        0        2.94275        1        1	no
-  NOTEST        0.395645        3.24499        1        1	no
-  NOTEST        0        4.68592        1        1	no
-  NOTEST        0        2.7797        1        1	no
-  OK        0.609709        7.20618        0.1124        0.164967	no
-  OK        2.60738        7.04348        0.0893        0.136495	no
-  NOTEST        0        1.19213        1        1	no
-  NOTEST        0        1.74711        1        1	no
-  NOTEST        0        1.33022        1        1	no
-  NOTEST        0.787865        2.28033        1        1	no
-  OK        0.175337        7.6122        0.2249        0.260978	no
-  OK        4.27996        53.6794        0.2249        0.260978	no
-  OK        0.194029        10.5767        0.2249        0.260978	no
-  OK        1.06865        8.7648        0.2258        0.260978	no
-  OK        0.297872        6.03496        0.11235        0.164967	no
-  OK        0.382347        6.27091        0.2249        0.260978	no
-  OK        21.3725        103.098        0.25385        0.27913	no
-  OK        0.442282        4.80066        0.1125        0.164967	no
-  OK        0.590891        6.55515        0.2249        0.260978	no
-  OK        0.585191        6.49192        0.2249        0.260978	no
-  OK        0.896303        6.48439        0.22625        0.260978	no
-  OK        5.96173        7.4758        0.7004        0.717438	no
-  OK        2.63578        6.35732        0.32125        0.345289	no
-  NOTEST        0        3.94566        1        1	no
-  NOTEST        0.674049        4.22617        1        1	no
-  OK        9.53877        9.77648        0.92245        0.926306	no
-  OK        7.50507        8.29624        0.68165        0.700554	no
-  OK        0.254188        4.90467        0.2249        0.260978	no
-  OK        0.838622        8.89986        0.2249        0.260978	no
-  NOTEST        0        4.14554        1        1	no
-  NOTEST        0        2.52505        1        1	no
-  NOTEST        0        5.13215        1        1	no
-  NOTEST        0        5.24612        1        1	no
-  NOTEST        0.419347        3.23659        1        1	no
-  NOTEST        0        2.62427        1        1	no
-  OK        7.64084        36.8583        0.25385        0.27913	no
-  NOTEST        0        4.69751        1        1	no
-  NOTEST        0        4.99224        1        1	no
-  NOTEST        0        6.26985        1        1	no
-  OK        0.905463        4.07664        0.0309        0.0518697	no
-  OK        6.88632        0.712417        0.1257        0.175614	no
-  OK        6.05597        4.76674        0.4129        0.436831	no
-  OK        1.91577        4.88442        0.0515        0.0825828	no
-  OK        1.04        4.31419        0.0319        0.0533568	no
-  OK        5.38447        6.49412        0.6212        0.641685	no
-  NOTEST        1.13748        3.65894        1        1	no
-  OK        1.05038        8.61247        0.2258        0.260978	no
-  OK        0.319578        3.93127        0.11235        0.164967	no
-  OK        1.61416        5.2554        0.1011        0.152546	no
-  OK        1.07058        4.38903        0.0603        0.0950104	no
-  OK        1.24657        3.48739        0.0825        0.126869	no
-  OK        0.122312        3.18609        0.2249        0.260978	no
-  NOTEST        0        5.82614        1        1	no
-  OK        0.323555        3.04373        0.11275        0.164967	no
-  OK        0.739807        5.3522        0.22625        0.260978	no
-  OK        6.84677        33.0279        0.25385        0.27913	no
-  NOTEST        0.95037        3.66756        1        1	no
-  OK        1.00449        7.26708        0.22625        0.260978	no
-  OK        0.11585        5.0296        0.2249        0.260978	no
-  NOTEST        0.973239        3.75581        1        1	no
-  NOTEST        0        5.21541        1        1	no
-  NOTEST        1.23978        5.98054        1        1	no
-  NOTEST        0        3.9544        1        1	no
-  NOTEST        0        2.58761        1        1	no
-  OK        0.280862        3.52258        0.2249        0.260978	no
-  NOTEST        0        2.97988        1        1	no
-  NOTEST        0        3.65869        1        1	no
-  NOTEST        0        3.78096        1        1	no
-  NOTEST        0        3.83952        1        1	no
-  NOTEST        0        5.41772        1        1	no
-  NOTEST        0        1.6792        1        1	no
-  NOTEST        0        2.93197        1        1	no
-  NOTEST        0        1.17795        1        1	no
-  OK        1.57752        7.60973        0.25385        0.27913	no
-  NOTEST        0.412691        3.18522        1        1	no
-  OK        0.386405        6.71028        0.2249        0.260978	no
-  OK        0.784446        7.94558        0.2249        0.260978	no
-  OK        0.5796        6.43129        0.2249        0.260978	no
-  OK        3.87257        54.1694        0.2249        0.260978	no
-  OK        0.409908        7.01882        0.11235        0.164967	no
-  OK        4.50914        13.0482        0.1407        0.191898	no
-  OK        10.8476        27.9078        0.1361        0.186023	no
-  OK        12.6478        9.40992        0.08475        0.129977	no
-  OK        7.70144        12.0763        0.5273        0.549132	no
-  OK        150.068        21.7351        0.1279        0.177027	no
-  NOTEST        0        3.56819        1        1	no
-  OK        4.47308        7.82184        0.0466        0.075322	no
-  OK        4.65162        11.7789        0.0423        0.069007	no
-  OK        37.4913        108.512        0.2073        0.260978	no
-  OK        1.57752        12.9346        0.2258        0.260978	no
-  OK        1.73539        4.70859        0.03315        0.0553425	no
-  OK        1.33576        6.28284        0.0541        0.0863095	no
-  OK        1.34316        7.12711        0.04375        0.0711725	no
-  OK        0.864604        5.73449        0.03435        0.0571725	no
-  OK        0.233484        4.44899        0.11235        0.164967	no
-  NOTEST        0        4.19509        1        1	no
-  OK        2.27609        12.0802        0.2431        0.271716	no
-  OK        0.773152        3.43121        0.0298        0.0503898	no
-  OK        2.91799        8.44558        0.2073        0.260978	no
-  OK        1.10806        4.41005        0.0829        0.127384	no
-  NOTEST        0.883477        3.40941        1        1	no
-  NOTEST        0.486628        2.81691        1        1	no
-  NOTEST        0        3.55911        1        1	no
-  OK        0.301821        3.9314        0.2249        0.260978	no
-  OK        0.293545        3.68166        0.2249        0.260978	no
-  NOTEST        2.21043        3.90882        1        1	no
-  OK        3.05623        9.58467        0.19145        0.251028	no
-  OK        0.647664        6.24848        0.22505        0.260978	no
-  NOTEST        0        5.24517        1        1	no
-  OK        18.9069        0.507948        0.22015        0.260978	no
-  OK        5.34576        4.92301        0.7475        0.76283	no
-  OK        6.08016        4.30171        0.1426        0.193984	no
-  NOTEST        0        3.15152        1        1	no
-  NOTEST        1.48366        3.81705        1        1	no
-  NOTEST        0        4.02282        1        1	no
-  NOTEST        0        3.61496        1        1	no
-  OK        1.27268        4.6052        0.14755        0.198642	no
-  NOTEST        1.78428        3.44284        1        1	no
-  OK        1.70071        5.33362        0.19145        0.251028	no
-  NOTEST        0.78108        4.14554        1        1	no
-  OK        2.97237        4.24648        0.10095        0.152472	no
-  NOTEST        0        3.44972        1        1	no
-  NOTEST        0        5.82614        1        1	no
-  NOTEST        0        3.97761        1        1	no
-  NOTEST        0        2.89379        1        1	no
-  NOTEST        0        4.82814        1        1	no
-  NOTEST        0.574115        4.15486        1        1	no
-  OK        1.75929        10.1839        0.2299        0.260978	no
-  NOTEST        0        4.64214        1        1	no
-  NOTEST        0        3.2516        1        1	no
-  OK        2.49559        3.09558        0.4774        0.500599	no
-  OK        4.23245        1.27541        0.23855        0.269847	no
-  OK        12.8139        13.5957        0.9086        0.914815	no
-  NOTEST        0        3.1924        1        1	no
-  OK        0.896303        5.18837        0.2299        0.260978	no
-  NOTEST        0.36693        2.65547        1        1	no
-  NOTEST        0.830974        4.40836        1        1	no
-  NOTEST        0        3.28805        1        1	no
-  NOTEST        1.52295        4.03965        1        1	no
-  OK        4.2479        6.83042        0.45705        0.480873	no
-  OK        4.62062        7.42974        0.45705        0.480873	no
-  OK        2.00733        4.68055        0.08005        0.123345	no
-  NOTEST        0.883477        3.62303        1        1	no
-  NOTEST        1.51349        3.10332        1        1	no
-  NOTEST        3.91092        4.71643        1        1	no
-  NOTEST        1.70091        2.79009        1        1	no
-  NOTEST        1.57345        2.78366        1        1	no
-  OK        1.50825        5.82047        0.04635        0.0749523	no
-  NOTEST        0.866518        5.01595        1        1	no
-  OK        5.30081        2.84256        0.2692        0.294959	no
-  OK        10.1115        3.25175        0.18395        0.242615	no
-  OK        5.00903        0.269143        0.22015        0.260978	no
-  OK        6.48332        0.44678        0.2173        0.260978	no
-  OK        9.62328        0.928427        0.2173        0.260978	no
-  OK        10.8761        1.39905        0.1164        0.166409	no
-  OK        5.95629        0.797723        0.12645        0.175614	no
-  OK        5.18221        3.49951        0.1505        0.202417	no
-  OK        7.4635        1.93793        0.09105        0.138681	no
-  OK        7.88419        3.8048        0.11865        0.168963	no
-  OK        6.08213        1.57925        0.09105        0.138681	no
-  NOTEST        3.43388        2.83964        1        1	no
-  NOTEST        0.801717        4.64277        1        1	no
-  NOTEST        3.95641        3.27174        1        1	no
-  NOTEST        1.62489        4.70295        1        1	no
-  OK        6.0665        2.92573        0.1989        0.260022	no
-  OK        6.1294        2.72929        0.072        0.11195	no
-  NOTEST        3.47487        3.77151        1        1	no
-  OK        3.91858        3.36048        0.7579        0.77231	no
-  NOTEST        3.35781        3.23952        1        1	no
-  NOTEST        1.01864        1.47292        1        1	no
-  NOTEST        0        2.51838        1        1	no
-  NOTEST        0        2.75067        1        1	no
-  NOTEST        2.11281        5.60428        1        1	no
-  OK        4.23953        15.3407        0.14755        0.198642	no
-  OK        3.15603        6.76632        0.05635        0.0895045	no
-  OK        6.2279        6.34314        0.931        0.933753	no
-  OK        4.39533        5.44003        0.10735        0.161286	no
-  OK        5.58555        6.06182        0.81235        0.824029	no
-  OK        5.65075        4.5146        0.08535        0.130772	no
-  OK        7.3024        5.2842        0.20255        0.260978	no
-  NOTEST        0        3.76782        1        1	no
-  NOTEST        0        4.12122        1        1	no
-  OK        0.827202        6.38449        0.2262        0.260978	no
-  OK        1.10975        4.81793        0.0594        0.0938891	no
-  NOTEST        0.531383        2.17914        1        1	no
-  NOTEST        2.90028        3.84827        1        1	no
-  NOTEST        0.883295        4.26089        1        1	no
-  NOTEST        0.343392        2.31906        1        1	no
-  OK        6.72573        25.9713        0.3205        0.345289	no
-  NOTEST        0.169934        1.80343        1        1	no
-  NOTEST        0.409909        2.17508        1        1	no
-  NOTEST        0.253834        2.57106        1        1	no
-  NOTEST        0        3.66891        1        1	no
-  NOTEST        2.16664        2.98616        1        1	no
-  NOTEST        1.94509        5.15939        1        1	no
-  NOTEST        0.600641        4.05637        1        1	no
-  OK        1.40357        4.73887        0.05955        0.0940418	no
-  OK        2.62113        16.434        0.22985        0.260978	no
-  OK        1.92466        7.89048        0.1329        0.18257	no
-  OK        0.525998        4.31284        0.2258        0.260978	no
-  NOTEST        0.40354        2.72527        1        1	no
-  OK        1.20001        7.52675        0.22985        0.260978	no
-  OK        0.266469        3.47029        0.2249        0.260978	no
-  OK        0.598678        5.48708        0.11275        0.164967	no
-  OK        1.51243        4.86262        0.0685        0.10674	no
-  OK        2.84371        4.63013        0.2474        0.275233	no
-  OK        2.17307        4.19434        0.3645        0.388503	no
-  OK        4.19353        4.45038        0.82535        0.835708	no
-  NOTEST        3.3599        4.0526        1        1	no
-  OK        7.95157        9.20574        0.7937        0.805887	no
-  OK        3.93188        6.16305        0.5273        0.549132	no
-  OK        0.730913        4.75942        0.11545        0.165382	no
-  OK        0.871852        5.88745        0.03435        0.0571725	no
-  NOTEST        0.451603        3.70286        1        1	no
-  OK        0.387645        3.73989        0.11275        0.164967	no
-  NOTEST        0        3.77596        1        1	no
-  OK        1.05811        6.37959        0.1155        0.165382	no
-  OK        1.65713        15.1901        0.22525        0.260978	no
-  OK        1.40214        5.9521        0.0319        0.0533568	no
-  OK        1.6308        6.13569        0.04005        0.0656893	no
-  OK        0.356513        3.69771        0.1125        0.164967	no
-  OK        2.81113        10.8484        0.14755        0.198642	no
-  OK        0.5796        6.4299        0.2249        0.260978	no
-  NOTEST        0.570516        4.12745        1        1	no
-  OK        0.758321        4.20719        0.11965        0.169606	no
-  OK        0.489236        5.42742        0.2249        0.260978	no
-  OK        0.713697        4.81988        0.22825        0.260978	no
-  OK        0.321551        4.34313        0.2249        0.260978	no
-  OK        0.348654        5.55055        0.2249        0.260978	no
-  OK        0.53371        4.63417        0.22535        0.260978	no
-  OK        0.250342        4.58894        0.2249        0.260978	no
-  OK        0.194029        4.58602        0.2249        0.260978	no
-  OK        0.805295        4.66156        0.11945        0.169606	no
-  OK        11.4103        1.92578        0.0548        0.0871919	no
-  OK        26.5109        6.39743        0.1755        0.232829	no
-  OK        16.4337        4.76038        0.0402        0.0658127	no
-  OK        13.6938        0.549109        0.247        0.274892	no
-  OK        12.2234        0.983548        0.1257        0.175614	no
-  NOTEST        2.46607        0.475838        1        1	no
-  NOTEST        2.06345        0.199571        1        1	no
-  NOTEST        3.53774        0        1        1	no
-  OK        5.65536        5.53859        0.9339        0.936132	no
-  OK        30.1896        67.9609        0.20735        0.260978	no
-  OK        5.39405        5.20403        0.8633        0.871446	no
-  OK        4.37876        5.28072        0.20205        0.260978	no
-  OK        13.0298        25.1415        0.2739        0.298851	no
-  OK        2.47614        7.36631        0.038        0.0625852	no
-  OK        2.42665        4.7991        0.05235        0.0838822	no
-  OK        0.665439        4.81498        0.1141        0.165127	no
-  OK        2.0526        5.94088        0.03825        0.0629401	no
-  OK        1.18953        3.72978        0.1045        0.157326	no
-  OK        0.854443        4.74048        0.11965        0.169606	no
-  OK        12.7612        61.5581        0.25385        0.27913	no
-  NOTEST        0.889957        3.43442        1        1	no
-  NOTEST        0        4.28161        1        1	no
-  OK        4.21799        20.347        0.25385        0.27913	no
-  NOTEST        0        4.13588        1        1	no
-  NOTEST        0        3.12612        1        1	no
-  NOTEST        0        3.15152        1        1	no
-  NOTEST        0        3.33806        1        1	no
-  NOTEST        1.12342        2.97991        1        1	no
-  NOTEST        1.69035        2.98913        1        1	no
-  OK        2.3037        5.55543        0.1417        0.192853	no
-  NOTEST        0.981109        3.07686        1        1	no
-  OK        2.96151        3.63642        0.5861        0.606887	no
-  NOTEST        2.71641        2.86662        1        1	no
-  NOTEST        3.79454        5.48977        1        1	no
-  OK        8.59535        5.58801        0.13305        0.182762	no
-  OK        8.16086        2.7547        0.13365        0.18351	no
-  OK        9.57844        3.46442        0.0525        0.0840614	no
-  OK        4.35587        3.10614        0.21815        0.260978	no
-  NOTEST        3.01265        2.30833        1        1	no
-  OK        2.08234        4.01797        0.2621        0.28749	no
-  NOTEST        3.01444        2.54472        1        1	no
-  OK        2.4088        3.35681        0.427        0.451017	no
-  OK        1.95546        6.13253        0.19145        0.251028	no
-  NOTEST        1.97285        3.56938        1        1	no
-  OK        10.1375        14.6706        0.5619        0.582753	no
-  NOTEST        4.73908        5.71516        1        1	no
-  OK        4.62103        2.57249        0.14485        0.196736	no
-  NOTEST        1.39142        3.22244        1        1	no
-  OK        3.08041        8.17456        0.28        0.303676	no
-  NOTEST        1.77388        2.90978        1        1	no
-  NOTEST        2.57542        2.27712        1        1	no
-  OK        5.49134        4.28877        0.3845        0.409185	no
-  NOTEST        4.01456        3.87474        1        1	no
-  OK        2.91456        4.21666        0.33475        0.359222	no
-  OK        5.62874        4.75108        0.66405        0.683237	no
-  NOTEST        2.66222        3.15246        1        1	no
-  OK        3.11103        4.50215        0.423        0.44706	no
-  OK        5.2798        4.94362        0.8261        0.836436	no
-  NOTEST        2.51823        2.2092        1        1	no
-  OK        7.10918        5.38779        0.66045        0.679819	no
-  OK        6.00504        5.34784        0.62915        0.649406	no
-  OK        4.96363        3.67179        0.2044        0.260978	no
-  OK        6.2279        7.67836        0.61945        0.63999	no
-  OK        5.17046        4.98832        0.8493        0.858462	no
-  OK        0.0866671        4.89131        0.2249        0.260978	no
-  OK        0.347328        5.69656        0.11235        0.164967	no
-  OK        1.16989        16.3644        0.2249        0.260978	no
-  OK        1.03406        4.24057        0.1329        0.18257	no
-  OK        3.1929        4.36456        0.5505        0.572042	no
-  OK        7.68431        8.38859        0.7429        0.759118	no
-  OK        4.51237        3.26475        0.29045        0.314712	no
-  NOTEST        1.61416        2.91945        1        1	no
-  OK        2.52969        6.71309        0.28        0.303676	no
-  OK        3.84648        2.44119        0.18395        0.242615	no
-  OK        22.7873        25.1174        0.8578        0.866094	no
-  OK        0.599664        4.04977        0.11545        0.165382	no
-  OK        0.261117        4.40888        0.2249        0.260978	no
-  OK        1.00449        5.81463        0.2299        0.260978	no
-  OK        0.173996        3.27319        0.2249        0.260978	no
-  OK        0.725821        3.58901        0.0541        0.0863095	no
