gene  status        value_1        value_2        p_value        q_value	significant
NR_004407  OK        712.623        104.078        0.0307        0.0515913	no
NM_000911  NOTEST        1.04331        1.1184        1        1	no
NR_034182  NOTEST        2.26761        0.28512        1        1	no
NM_001199037  NOTEST        1.60791        1.59453        1        1	no
NM_001199038  NOTEST        1.60791        1.59453        1        1	no
NM_001199039  NOTEST        1.60791        1.59453        1        1	no
NM_018565  NOTEST        1.60791        1.59453        1        1	no
NM_178865  NOTEST        1.60791        1.59453        1        1	no
NR_034112  NOTEST        0        0        1        1	no
NR_027085  OK        5.59562        5.19103        0.58795        0.608707	no
NM_001204414  NOTEST        2.43997        1.92567        1        1	no
NM_001204415  NOTEST        2.43997        1.92567        1        1	no
NM_022164  NOTEST        2.43997        1.92567        1        1	no
NM_018056  OK        21.8858        20.4002        0.36805        0.392161	no
NM_032648  NOTEST        0.24202        3.15188        1        1	no
NM_001042771  NOTEST        0        0.13788        1        1	no
NM_005356  NOTEST        0        0.13788        1        1	no
NM_001145720  NOTEST        1.57474        0.598611        1        1	no
NM_002143  OK        0.672806        3.15991        0.03675        0.0606418	no
NM_052998  NOTEST        1.19616        0.310589        1        1	no
NM_145205  NOTEST        0        0.0411467        1        1	no
NR_038372  NOTEST        0        0.151369        1        1	no
NM_001134734  NOTEST        0        0        1        1	no
NM_032884  NOTEST        0        0        1        1	no
NM_005268  NOTEST        0        0        1        1	no
NM_153212  NOTEST        0        0.0666121        1        1	no
NM_001005752  NOTEST        0        0.112696        1        1	no
NM_024009  NOTEST        0        0.112696        1        1	no
NM_002060  NOTEST        0        0.185589        1        1	no
NM_014466  OK        0.192792        5.96478        0.24705        0.274919	no
NR_036217  NOTEST        0        0        1        1	no
NM_025079  OK        3.91863        4.26823        0.6944        0.712729	no
NM_001142726  OK        4.10492        1.95258        0.03505        0.0582495	no
NM_198446  OK        4.10492        1.95258        0.03505        0.0582495	no
NR_037432  NOTEST        0        0        1        1	no
NM_001184979  OK        23.4465        17.7949        0.15135        0.203503	no
NM_004552  OK        23.4465        17.7949        0.15135        0.203503	no
NM_181809  OK        8.0114        7.14417        0.12465        0.17485	no
NM_001008740  OK        0.338915        3.76063        0.2249        0.260978	no
NM_023070  NOTEST        1.79311        2.69126        1        1	no
NM_198494  NOTEST        1.58262        1.03299        1        1	no
NR_029846  NOTEST        146.805        0        1        1	no
NR_029833  NOTEST        0        0        1        1	no
NM_004700  NOTEST        0.243758        0.470473        1        1	no
NM_172163  NOTEST        0.243758        0.470473        1        1	no
NM_007102  NOTEST        0        2.45896        1        1	no
-  NOTEST        0        2.26126        1        1	no
NM_173642  NOTEST        1.22915        0.898108        1        1	no
NR_104171  NOTEST        0.842207        1.62528        1        1	no
NR_033967  NOTEST        2.17608        1.14561        1        1	no
NM_001101376  NOTEST        0        0.279787        1        1	no
NM_001167965  NOTEST        0.128563        0        1        1	no
NM_001195831  NOTEST        0.128563        0        1        1	no
NM_152498  NOTEST        0.128563        0        1        1	no
NM_144626  NOTEST        0        0        1        1	no
NM_001253357  NOTEST        0        0.0236856        1        1	no
NM_005424  NOTEST        0        0.0236856        1        1	no
NM_014652  OK        7.39187        5.51463        0.23615        0.267252	no
NM_173484  NOTEST        0.497951        0.450309        1        1	no
NR_049849  NOTEST        0        0        1        1	no
NM_001145636  NOTEST        0.24578        0.236827        1        1	no
NR_000015  OK        4630.48        446.736        0.22325        0.260978	no
NR_000024  OK        1531.66        0        0.1218        0.17143	no
NR_001457  OK        1439.77        0        0.1491        0.200601	no
NR_024270  NOTEST        1.2085        0.582964        1        1	no
NM_032756  NOTEST        1.13893        0.769163        1        1	no
NM_015112  OK        41.8282        46.8367        0.24105        0.271716	no
NM_005727  NOTEST        0.383159        1.17044        1        1	no
NM_001441  NOTEST        1.34744        1.62485        1        1	no
NR_045483  NOTEST        0.171213        0.247978        1        1	no
NR_038403  NOTEST        1.21821        0.979122        1        1	no
NM_001145474  NOTEST        1.94502        2.01087        1        1	no
NM_014774  OK        5.03552        3.47008        0.32325        0.347389	no
NM_000779  NOTEST        0        0        1        1	no
NM_001099772  NOTEST        0        0        1        1	no
NM_178033  NOTEST        0        0        1        1	no
NM_178134  NOTEST        0        0.0516809        1        1	no
NM_001010969  NOTEST        0        0        1        1	no
NR_047498  NOTEST        1.19473        0        1        1	no
NM_012186  NOTEST        0.307261        1.82815        1        1	no
NM_004474  NOTEST        1.79111        0.510647        1        1	no
NM_001011547  NOTEST        0.24304        0.263863        1        1	no
NM_001135181  NOTEST        0.24304        0.263863        1        1	no
NM_001144774  NOTEST        0        0.0523584        1        1	no
NM_001144775  NOTEST        0        0.0523584        1        1	no
NM_001144776  NOTEST        0        0.0523584        1        1	no
NM_001144777  NOTEST        0        0.0523584        1        1	no
NM_021952  NOTEST        0        0.0523584        1        1	no
NM_001136508  NOTEST        0        0        1        1	no
NM_015696  NOTEST        0        0        1        1	no
NM_001042693  NOTEST        0        1.06631        1        1	no
NM_001199080  NOTEST        0        0.487419        1        1	no
NM_001199081  NOTEST        0        0.487419        1        1	no
NM_001199082  NOTEST        0        0.487419        1        1	no
NM_153703  NOTEST        0        0.487419        1        1	no
NR_038953  NOTEST        1.304        1.16841        1        1	no
NM_033067  NOTEST        0        0        1        1	no
NM_000792  OK        2.97392        2.25703        0.38775        0.412602	no
NM_001039715  OK        2.97392        2.25703        0.38775        0.412602	no
NM_001039716  OK        2.97392        2.25703        0.38775        0.412602	no
NM_213593  OK        2.97392        2.25703        0.38775        0.412602	no
NM_001256409  NOTEST        1.29154        0.963291        1        1	no
NM_052940  NOTEST        1.29154        0.963291        1        1	no
NR_039942  NOTEST        0        0        1        1	no
-  NOTEST        2.84361        1.87485        1        1	no
NM_001009955  OK        4.38243        3.47654        0.06775        0.105821	no
NM_001009955  OK        5.95217        2.83808        0.0382        0.0628931	no
NM_015547  NOTEST        0.30149        0.436427        1        1	no
NM_147161  NOTEST        0.30149        0.436427        1        1	no
NM_001110533  NOTEST        0.242962        1.71768        1        1	no
NM_152607  NOTEST        0.242962        1.71768        1        1	no
NM_182532  NOTEST        0        0.0985577        1        1	no
NM_057176  NOTEST        0        0.0754822        1        1	no
NM_015306  OK        3.64107        0.0918944        0.2453        0.273941	no
NM_015306  OK        10.6071        6.60111        0.22515        0.260978	no
NM_015306  NOTEST        0.308323        0        1        1	no
NM_015306  NOTEST        2.0705        1.34668        1        1	no
NR_038320  NOTEST        1.48051        0.285711        1        1	no
NR_039618  NOTEST        0        0        1        1	no
NM_000562  NOTEST        0        0        1        1	no
NR_034014  NOTEST        0        0        1        1	no
NR_034015  NOTEST        0        0        1        1	no
NM_001113411  NOTEST        1.08065        0.495338        1        1	no
NM_001244714  NOTEST        1.08065        0.495338        1        1	no
NM_001278224  NOTEST        1.08065        0.495338        1        1	no
NM_018291  NOTEST        1.08065        0.495338        1        1	no
NR_073400  OK        0.216281        4.90356        0.11235        0.164967	no
NM_014495  OK        3.90373        4.85172        0.25255        0.27913	no
NM_012183  OK        2.9292        0.235617        0.11615        0.166173	no
NM_032437  NOTEST        2.70006        1.09967        1        1	no
NM_001172818  OK        5.23988        3.75802        0.0511        0.0819937	no
NM_001172819  OK        5.23988        3.75802        0.0511        0.0819937	no
NM_002633  OK        5.23988        3.75802        0.0511        0.0819937	no
NM_152489  NOTEST        0        0.188867        1        1	no
NM_001256864  NOTEST        2.18129        1.33215        1        1	no
NM_001256865  NOTEST        2.18129        1.33215        1        1	no
NM_014787  NOTEST        2.18129        1.33215        1        1	no
NM_001037339  NOTEST        0.198252        0.119481        1        1	no
NM_001037340  NOTEST        0.198252        0.119481        1        1	no
NM_001037341  NOTEST        0.198252        0.119481        1        1	no
NM_002600  NOTEST        0.198252        0.119481        1        1	no
NM_032291  NOTEST        0        0        1        1	no
NR_036060  NOTEST        0        0        1        1	no
NM_152665  NOTEST        0        0        1        1	no
NM_144701  OK        2.85902        2.72508        0.80955        0.8213	no
NR_040077  OK        3.67245        4.1075        0.5043        0.527383	no
NM_024911  OK        9.36745        7.7464        0.4936        0.516459	no
NM_024911  OK        5.6721        4.87747        0.40755        0.431793	no
NM_024911  OK        5.03221        4.04579        0.4703        0.493556	no
NM_024911  OK        3.70346        3.31778        0.75855        0.772943	no
NM_001002292  OK        1.9946        3.32596        0.05375        0.0858963	no
NM_024911  OK        2.74432        17.213        0.17425        0.231468	no
NM_024911  OK        10.1569        5.30888        0.14275        0.194173	no
NM_024911  OK        3.92632        3.05798        0.05435        0.0866325	no
NM_024911  OK        4.27343        4.40527        0.82265        0.833502	no
NM_024911  OK        1.97105        5.0694        0.1801        0.237733	no
NM_024911  OK        4.2956        3.953        0.58545        0.606285	no
NM_024911  OK        2.549        3.19758        0.51335        0.536582	no
NM_024911  OK        8.13809        3.56882        0.0355        0.0588604	no
NM_024911  OK        1.20128        3.4769        0.1816        0.239587	no
NM_024911  NOTEST        2.03113        1.48453        1        1	no
NM_024911  OK        2.87293        1.59391        0.07115        0.110736	no
NM_020794  NOTEST        0.180766        0.363221        1        1	no
NR_023916  NOTEST        0.229797        0.221701        1        1	no
NR_046217  NOTEST        0.314331        0.151252        1        1	no
NM_001112808  NOTEST        1.40993        0.187738        1        1	no
NM_001199327  NOTEST        1.40993        0.187738        1        1	no
NM_001199328  NOTEST        1.40993        0.187738        1        1	no
NM_001199329  NOTEST        1.40993        0.187738        1        1	no
NM_003838  NOTEST        1.40993        0.187738        1        1	no
NM_015978  NOTEST        1.40993        0.187738        1        1	no
NM_001001933  NOTEST        0.699998        0        1        1	no
NM_001256114  NOTEST        0.699998        0        1        1	no
NM_001160011  NOTEST        0.963006        0.509096        1        1	no
NM_152996  NOTEST        0.963006        0.509096        1        1	no
NM_030965  NOTEST        0.0995627        1.20057        1        1	no
NM_001172309  OK        16.9428        14.3803        0.2595        0.284993	no
NM_144573  OK        16.9428        14.3803        0.2595        0.284993	no
NM_007034  OK        2.57915        4.17529        0.08295        0.12739	no
NM_017655  NOTEST        0.0694926        0.4021        1        1	no
NR_027310  NOTEST        0        0.533702        1        1	no
NM_000959  NOTEST        1.34132        1.00464        1        1	no
NM_001039585  NOTEST        1.34132        1.00464        1        1	no
NM_006820  NOTEST        0        0        1        1	no
NM_006417  NOTEST        0        0        1        1	no
NM_012302  OK        20.7851        18.3957        0.10915        0.163702	no
NM_001242857  NOTEST        1.97827        1.36416        1        1	no
NM_001242858  NOTEST        1.97827        1.36416        1        1	no
NM_001242859  NOTEST        1.97827        1.36416        1        1	no
NM_001242860  NOTEST        1.97827        1.36416        1        1	no
NM_001242861  NOTEST        1.97827        1.36416        1        1	no
NM_001242862  NOTEST        1.97827        1.36416        1        1	no
NM_002731  NOTEST        1.97827        1.36416        1        1	no
NM_182948  NOTEST        1.97827        1.36416        1        1	no
NM_207578  NOTEST        1.97827        1.36416        1        1	no
NM_001010971  NOTEST        0.400587        0.339978        1        1	no
NM_001134663  NOTEST        0.400587        0.339978        1        1	no
NM_001134664  NOTEST        0.400587        0.339978        1        1	no
NM_021233  NOTEST        0        0        1        1	no
NM_058248  NOTEST        0        0        1        1	no
NM_145172  NOTEST        0.131226        1.76064        1        1	no
NR_039619  NOTEST        0        0        1        1	no
NR_045484  NOTEST        0.26608        0.128672        1        1	no
NM_006536  NOTEST        0        0        1        1	no
NM_001285  NOTEST        0        0        1        1	no
NM_012128  NOTEST        0        0        1        1	no
NR_024604  NOTEST        0        0.0274354        1        1	no
NR_003133  NOTEST        0        0        1        1	no
NM_001134479  NOTEST        1.32271        0.932739        1        1	no
NM_018103  NOTEST        1.32271        0.932739        1        1	no
NM_173567  NOTEST        0.881356        0.141366        1        1	no
NM_183242  NOTEST        0.58568        0.282875        1        1	no
NM_015237  NOTEST        0.418202        0.141164        1        1	no
NM_206886  OK        20.2359        23.4645        0.05565        0.0884831	no
NM_001024948  OK        5.86502        4.60728        0.1188        0.169172	no
NM_001164473  OK        5.86502        4.60728        0.1188        0.169172	no
NM_017737  OK        5.86502        4.60728        0.1188        0.169172	no
NR_034091  NOTEST        0.40205        2.30908        1        1	no
NM_001261408  NOTEST        0.452727        3.05745        1        1	no
NM_001261408  OK        0        3.19251        0.12355        0.173454	no
NR_030621  OK        595.066        0        0.15275        0.205094	no
NM_001114106  NOTEST        0.36384        1.21516        1        1	no
NM_001258340  NOTEST        0.36384        1.21516        1        1	no
NM_001258341  NOTEST        0.36384        1.21516        1        1	no
NM_001258342  NOTEST        0.36384        1.21516        1        1	no
NM_001258343  NOTEST        0.36384        1.21516        1        1	no
NM_152369  NOTEST        0.36384        1.21516        1        1	no
NR_033998  OK        1.45989        3.07416        0.11255        0.164967	no
NR_033966  OK        11.5579        11.1166        0.6732        0.692166	no
NR_046590  NOTEST        0        0        1        1	no
NR_046088  OK        13.1578        10.9482        0.0773        0.119418	no
NR_033940  NOTEST        0        0        1        1	no
NM_001166252  NOTEST        0        0        1        1	no
NM_014839  NOTEST        0        0        1        1	no
NM_017734  NOTEST        0        0.924268        1        1	no
NM_022049  NOTEST        0.0558115        0.457752        1        1	no
NM_001078  NOTEST        0        0        1        1	no
NM_001199834  NOTEST        0        0        1        1	no
NM_080682  NOTEST        0        0        1        1	no
